sec_code,market,sec_name
600511,1,国药股份
002318,0,久立特材
600166,1,福田汽车
300144,0,宋城演艺
300724,0,捷佳伟创
000783,0,长江证券
002461,0,珠江啤酒
600298,1,安琪酵母
600332,1,白云山
300100,0,双林股份
600606,1,绿地控股
601128,1,常熟银行
002984,0,森麒麟
600885,1,宏发股份
601233,1,桐昆股份
301358,0,湖南裕能
688220,1,翱捷科技-U
601399,1,国机重装
600637,1,东方明珠
600004,1,白云机场
601555,1,东吴证券
600848,1,上海临港
603568,1,伟明环保
300888,0,稳健医疗
600820,1,隧道股份
002130,0,沃尔核材
000009,0,中国宝安
603885,1,吉祥航空
000785,0,居然智家
300487,0,蓝晓科技
600177,1,雅戈尔
600208,1,衢州发展
002157,0,正邦科技
002155,0,湖南黄金
688692,1,达梦数据
002340,0,格林美
002821,0,凯莱英
002624,0,完美世界
601162,1,天风证券
600655,1,豫园股份
601212,1,白银有色
300207,0,欣旺达
002966,0,苏州银行
300558,0,贝达药业
001221,0,悍高集团
688002,1,睿创微纳
603833,1,欧派家居
300058,0,蓝色光标
300919,0,中伟新材
600699,1,均胜电子
600977,1,中国电影
688411,1,海博思创
600282,1,南钢股份
600153,1,建发股份
688336,1,三生国健
000878,0,云南铜业
603596,1,伯特利
601155,1,新城控股
603737,1,三棵树
603179,1,新泉股份
002271,0,东方雨虹
000050,0,深天马Ａ
000629,0,钒钛股份
688561,1,奇安信-U
000415,0,渤海租赁
688709,1,成都华微
002583,0,海能达
002131,0,利欧股份
000060,0,中金岭南
002508,0,老板电器
002266,0,浙富控股
600862,1,中航高科
603308,1,应流股份
002683,0,广东宏大
603806,1,福斯特
600909,1,华安证券
300748,0,金力永磁
603659,1,璞泰来
002335,0,科华数据
002841,0,视源股份
688018,1,乐鑫科技
688295,1,中复神鹰
002025,0,航天电器
688361,1,中科飞测
000559,0,万向钱潮
002487,0,大金重工
300763,0,锦浪科技
002044,0,美年健康
002465,0,海格通信
000519,0,中兵红箭
603379,1,三美股份
688778,1,厦钨新能
600143,1,金发科技
688301,1,奕瑞科技
688343,1,云天励飞-U
600711,1,盛屯矿业
688099,1,晶晨股份
000887,0,中鼎股份
600363,1,联创光电
600563,1,法拉电子
300115,0,长盈精密
000960,0,锡业股份
600499,1,科达制造
300718,0,长盛轴承
600171,1,上海贝岭
603728,1,鸣志电器
000733,0,振华科技
603920,1,世运电路
300432,0,富临精工
688385,1,复旦微电
688676,1,金盘科技
688037,1,芯源微
000062,0,深圳华强
600884,1,杉杉股份
601112,1,振石股份
000967,0,盈峰环境
003022,0,联泓新科
002126,0,银轮股份
600497,1,驰宏锌锗
300953,0,震裕科技
000032,0,深桑达Ａ
603341,1,龙旗科技
002472,0,双环传动
688582,1,芯动联科
002812,0,恩捷股份
002756,0,永兴材料
300735,0,光弘科技
603119,1,浙江荣泰
600141,1,兴发集团
603160,1,汇顶科技
603156,1,养元饮品
300604,0,长川科技
300054,0,鼎龙股份
002429,0,兆驰股份
002430,0,杭氧股份
002738,0,中矿资源
001203,0,大中矿业
688200,1,华峰测控
001696,0,宗申动力
688166,1,博瑞医药
688313,1,仕佳光子
688052,1,纳芯微
002203,0,海亮股份
688772,1,珠海冠宇
300037,0,新宙邦
688120,1,华海清科
002402,0,和而泰
002850,0,科达利
002273,0,水晶光电
688019,1,安集科技
600392,1,盛和资源
003021,0,兆威机电
300390,0,天华新能
300223,0,北京君正
300373,0,扬杰科技
003031,0,中瓷电子
603175,1,超颖电子
688387,1,信科移动-U
603290,1,斯达半导
688322,1,奥比中光-W
600601,1,方正科技
688017,1,绿的谐波
300548,0,长芯博创
600498,1,烽火通信
688728,1,格科微
002432,0,九安医疗
300666,0,江丰电子
300136,0,信维通信
300623,0,捷捷微电
300757,0,罗博特科
000021,0,深科技
002056,0,横店东磁
688172,1,燕东微
605589,1,圣泉集团
002407,0,多氟多
002185,0,华天科技
002138,0,顺络电子
002008,0,大族激光
600105,1,永鼎股份
605358,1,立昂微
603256,1,宏和科技
603688,1,石英股份
002409,0,雅克科技
001309,0,德明利
002851,0,麦格米特
603650,1,彤程新材
600707,1,彩虹股份
600378,1,昊华科技
002281,0,光迅科技
001389,0,广合科技
600879,1,航天电子
002739,0,儒意电影
002436,0,兴森科技
300620,0,光库科技
300395,0,菲利华
688234,1,天岳先进
300567,0,精测电子
300679,0,电连技术
300346,0,南大光电
300475,0,香农芯创
300285,0,国瓷材料
300570,0,太辰光
301200,0,大族数控
300751,0,迈为股份
301377,0,鼎泰高科
301611,0,珂玛科技
688498,1,源杰科技
301526,0,国际复材
